#separator: tab
#html:true
ウェイ	way
同封 | どうふう	enclosure (e.g. in a letter)
土中 | どちゅう	(in the) earth; underground
無休 | むきゅう	without a holiday; nonstop
賑やか | にぎ	bustling; busy; lively
かい	marks yes-no question
銘柄 | めいがら	brand; make; description, trading name of stocks and securities
きん	fungus, germ; bacterium; bacillus
ミックス	mix
ごく	quite; very, 10^48; quindecillion
恒久 | こうきゅう	permanent; perpetuity
容認 | ようにん	approval
発酵 | はっこう	fermentation; zymosis
所管 | しょかん	jurisdiction
攻防 | こうぼう	offense and defense; offence and defence
浦 | うら	inlet, seashore; beach
する	to print, to color or pattern fabric using a wooden mold
一因 | いちいん	cause
一位 | いちい	first place; first rank; unit's position, Japanese yew (Taxus cuspidata)
年次 | ねんじ	annual, fiscal year; school year
コンクール	competition; contest
最前線 | さいぜんせん	front line; forefront
おなか	stomach
根回し | ねまわ	making necessary arrangements; laying the groundwork, digging around the roots of a tree (before transplanting)
半端 | はんぱ	remnant; fragment; incomplete set; fraction; odd sum; incompleteness
不安定 | ふあんてい	instability; insecurity; crankiness
不公平 | ふこうへい	unfairness; injustice; partiality
ごうひ	success or failure; result
転向 | てんこう	conversion; shift; about-face; switch
こくぶんじ	(Nara Era) state-supported provincial temples
チャレンジ	self-challenge; trying hard to do something
弱める | よわ	to weaken
社会人 | しゃかいじん	working adult; full-fledged member of society
がっこうほうじん	(legally) incorporated educational institution
受講 | じゅこう	taking (attending) lectures
勝者 | しょうしゃ	winner; victor
楽団 | がくだん	orchestra; band
女の子 | め, こ	woman; girl
迷路 | めいろ	maze; labyrinth; blind alley
ホット	hot
奮闘 | ふんとう	hard struggle; strenuous effort
無能 | むのう	inefficiency; incompetence, incompetent person
互換 | ごかん	transposition; interchange, compatible (e.g. PC)
連なる | つら	to extend; to stretch out; to stand in a row, to attend; to participate in
大差 | たいさ	great difference
か月 | げつ	months (period of)
複写 | ふくしゃ	copy; duplicate
逆らう | さか	to go against; to oppose; to disobey; to defy
最年少 | さいねんしょう	youngest
治める | おさ	to govern; to manage, to subdue
買い | か	buying; shopping, buyer
ふせん	war renunciation; anti-war, bout cancelled due to absence of one of the wrestlers
でかい	huge; big; gargantuan
証書 | しょうしょ	bond; deed; certificate
記 | き	account; history; chronicle; annals; record, Records of Ancient Matters
攻勢 | こうせい	offensive (movement); aggression
千秋 | せんしゅう	thousand years; many years
しご	dead language; obsolete word
少将 | しょうしょう	major general; rear admiral; air commodore
桐 | きり	paulownia tree; Paulownia tomentosa
三度 | さんど	three times; thrice, third (musical interval)
急死 | きゅうし	sudden death
人命 | じんめい	(human) life
向ける | む	to turn towards; to point
とめる	to give shelter to; to lodge; to put up; to accommodate
編著 | へんちょ	compilation
水深 | すいしん	depth of water
そのうち	before very long; soon; eventually; sooner or later; of the previously mentioned
瀬戸 | せと	strait; channel
炭酸 | たんさん	carbonic acid, carbonated water
モーター	motor
豊作 | ほうさく	abundant harvest; bumper crop
ラジカセ	radio-cassette player
提唱 | ていしょう	advocacy; proposal
売り | う	sale; selling, selling point; gimmick
士官 | しかん	officer
知れる | し	to become known; to come to light; to be discovered, to be known; to be understood
解く | ほど	to unfasten; to untie; to unwrap (e.g. parcel)
はかる	to consult with; to discuss; to confer; to deliberate
頭取 | とうどり	(bank) president, greenroom manager (in a theater)
見下す | みくだ	to despise; to look down on
はぎれ	feel when biting, manner of enunciation
九 | チュー	nine
民話 | みんわ	folk tale; folktale; folk story; folklore
壊滅 | かいめつ	destruction; annihilation; devastation; catastrophe
むく	to peel; to skin; to pare; to hull; to bare (e.g. fangs); to open wide (e.g. eyes)
起工 | きこう	setting to work
コメント	comment, (blog) comment
に対する | たい	regarding; in; to; towards; with regards to
緑地 | りょくち	green tract of land
書評 | しょひょう	book review
弁 | べん	speech; tongue; talk; eloquence, dialect; brogue; accent
汚れる | よご	to get dirty; to become dirty, to become sullied; to become corrupted; to lose one's chastity
呼びかけ | よ	call; appeal
批准 | ひじゅん	ratification; ratify
痛む | いた	to hurt; to ache; to feel a pain, to be injured; to be spoiled (e.g. food); to be damaged
漢文 | かんぶん	Chinese classical literature, literature written entirely in kanji
蒸し暑い | む, あつ	humid; sultry
続出 | ぞくしゅつ	appearance one after another
芸名 | げいめい	stage name
烏 | からす	crow (Corvus spp.); raven
夏時間 | なつじかん	daylight saving time; summer time
北北東 | ほくほくとう	north-northeast; north-north-east
内政 | ないせい	municipal; internal administration; domestic affairs
頭文字 | かしらもじ	initials; initialism, first letter of a word
九分 | くぶ	nine parts; nine percent; almost
忍者 | にんじゃ	ninja (persons in feudal Japan who used ninjutsu for the purposes of espionage, assassination, sabotage, etc.)
取り出す | と, だ	to take out; to produce; to pick out, to fetch; to retrieve
内定 | ないてい	unofficial offer (esp. job offer); tentative decision
十代 | じゅうだい	the teens (10-19); teenage, the tenth generation
二三 | にさん	two or three
いこう	remains
総括 | そうかつ	synthesis; recap; generalize; generalise
ラテン語 | ご	Latin (language)
脱走 | だっそう	desertion; escape
無茶 | むっちゃ	absurd; unreasonable; excessive; rash, very; extremely; excessively
省庁 | しょうちょう	ministries and government offices; the authorities
手際 | てぎわ	performance; skill; tact
ギリシャ	Greece
誠に | まこと	indeed; really; absolutely; truly; actually; very; quite
十一月 | じゅういちがつ	November
狩り | か	hunting, harvesting (e.g. berries, fruit); picking; gathering
壇 | だん	platform; podium; rostrum, mandala
楽しめる | たの	to be able to enjoy
古書 | こしょ	old book; rare book, secondhand book; used book
催促 | さいそく	pressing; demanding; urging; demand; request; claim
み	sixth sign of Chinese zodiac (The Serpent, 9am-11am, south-southeast, April)
一線 | いっせん	line
電 | いなずま	lightning; flash of lightning; lightning bolt
専属 | せんぞく	exclusive; attached to; specialist
太子 | たいし	Crown Prince, Shotoku Taishi
不注意 | ふちゅうい	carelessness; inattention; thoughtlessness
ジャーナリスト	journalist
主教 | しゅきょう	bishop (Orthodox, Anglican, etc.); prelate; primate, episcopal
火 | か	Tuesday, fire (second of the five elements)
退社 | たいしゃ	resignation; leaving office, leaving work (e.g. at the end of the day)
両端 | りょうはし	both ends; either end; both edges, double-mindedness; sitting on the fence
下落 | げらく	depreciation; decline; fall; slump
怠る | おこた	to be negligent in doing something; to shirk; to be off one's guard
濃縮 | のうしゅく	concentration (e.g. of a solution); enrichment; condensation
よせ	entertainment hall (for rakugo, manzai, magic, music, etc.); vaudeville theater (theatre); music hall
私物 | しぶつ	private property; personal effects
女学生 | じょがくせい	schoolgirl
占う | うらな	to tell someone's fortune; to forecast; to predict; to divine
あとがき	afterword; postscript
獅子 | しし	lion, left-hand guardian dog at a Shinto shrine
やかましい	noisy; boisterous, strict; faultfinding; carping; fussy
アルカリ	alkali
不潔 | ふけつ	unclean; dirty; filthy; impure
とりわけ	especially; above all, inter alia; among others
ビザ	visa
全額 | ぜんがく	total; full amount; sum
融合 | ゆうごう	agglutination; adhesion; fusion; combination; blending; uniting
きょしき	holding a ceremony
さっさ	promptly; immediately; quickly; without delay, indifferently
合致 | がっち	agreement; concurrence; conformance; compliance
とる	to take (trouble); to attend (to business); to command (army)
私生活 | しせいかつ	one's private life
名曲 | めいきょく	famous music
製法 | せいほう	manufacturing method; recipe; formula
左腕 | さわん	left arm, left-handed (baseball pitcher)
射程 | しゃてい	range (e.g. of a rifle, missile, etc.)
カ国 | こく	counter for countries
スマート	smart; stylish, slim
繰り返し | く, かえ	repetition; repeat; reiteration; iteration; refrain; cycle, repeatedly
地表 | ちひょう	surface of the earth; ground surface
したね	lowest price
変容 | へんよう	changed appearance
変わり | か	change; alteration, unusual state or event; accident; abnormality
面影 | おもかげ	face; looks; vestiges; trace
加算 | かさん	addition; adding; supplement
荒廃 | こうはい	ruin; destruction; devastation; waste; decay
冷淡 | れいたん	coolness; indifference
ドキュメント	document
一個 | いっこ	piece; fragment; one (object)
語気 | ごき	tone; manner of speaking
別問題 | べつもんだい	different thing; another question; different case
